""
"Fecha: 20200622063702, Artículo: https://web.archive.org/web/20200622063702/https://www.larazon.es/comunidad-valenciana/20200621/o2i5yykrgfasdna5euvq2lp26i.html"
"Fecha: 20210419012010, Artículo: https://web.archive.org/web/20210419012010/https://www.larazon.es/comunidad-valenciana/20210414/cljorxug4behrizel33fvxyf7q.html"
"Fecha: 20210419012010, Artículo: https://web.archive.org/web/20210419012010/https://www.larazon.es/madrid/20210408/jxwkchizgzgyzkaynoexpybnga.html"
"Fecha: 20210419012010, Artículo: https://web.archive.org/web/20210419012010/https://www.larazon.es/madrid/20210406/qm2i6iex6na4fdthvvqjannzzq.html"
"Fecha: 20241118085344, Artículo: https://web.archive.org/web/20241118085344/https://www.larazon.es/andalucia/condenado-15-anos-prision-estrangular-pareja-quemar-cadaver-malaga_202411156737343c3ebaed0001cb2f95.html"
"Fecha: 20241118085344, Artículo: https://web.archive.org/web/20241118085344/https://www.larazon.es/galicia/prision-provisional-detenido-crimen-machista-baiona-pontevedra_2024111567372da6e378830001fbccb5.html"
"Fecha: 20241118085344, Artículo: https://web.archive.org/web/20241118085344/https://www.larazon.es/cataluna/encarcelan-acusado-matar-mujer-tarragona-2022-que-encontro-aun-cuerpo_202411146735e9d83ebaed0001c8f5cb.html"
"Fecha: 20241118085344, Artículo: https://web.archive.org/web/20241118085344/https://www.larazon.es/cataluna/mujer-hace-gesto-ingternacional-violencia-machista-consigue-detencion-lloret-mar_20241111673228ac39a16c0001ab984f.html"
"Fecha: 20241118085344, Artículo: https://web.archive.org/web/20241118085344/https://www.larazon.es/cataluna/barcelona-impulsa-acto-reparacion-victimas-violencia-sexual-escola-barcelona_20241108672dd9b039a16c0001a63463.html"
"Fecha: 20241118085344, Artículo: https://web.archive.org/web/20241118085344/https://www.larazon.es/espana/caso-errejon-directo-ultima-hora-paradero-inigo-nuevas-denuncias-violencia-machista-vuelta-pablo-iglesias_202410306721d4802914190001e5cb84.html"
"Fecha: 20241118085344, Artículo: https://web.archive.org/web/20241118085344/https://www.larazon.es/canarias/violencia-machista-detienen-crucerista-frances-abofetear-mujer-escala-palmas_20241028671f5d29d8f8950001d2bc4a.html"
"Fecha: 20241118085344, Artículo: https://web.archive.org/web/20241118085344/https://www.larazon.es/gente/poder/inigo-errejon-christian-grey-esto-son-cincuenta-sombras_20241027671dee4f2914190001e2c77a.html"
"Fecha: 20241118085344, Artículo: https://web.archive.org/web/20241118085344/https://www.larazon.es/espana/dimision-inigo-errejon-directo-ultima-hora-reacciones-acusaciones-violencia-machista_20241025671b2d77d058410001701b42.html"
"Fecha: 20241118085344, Artículo: https://web.archive.org/web/20241118085344/https://www.larazon.es/gente/poder/maria-angeles-victima-colateral-escandalo-inigo-errejon_20241026671cab42d05841000171588e.html"
"Fecha: 20241118085344, Artículo: https://web.archive.org/web/20241118085344/https://www.larazon.es/espana/dimision-inigo-errejon-directo-ultima-hora-reacciones-acusaciones-violencia-machista_20241024671a60e9d8f8950001cf11eb.html"
"Fecha: 20241118085344, Artículo: https://web.archive.org/web/20241118085344/https://www.larazon.es/espana/cuando-errejon-clamaba-violencia-machista_20241024671a6a182914190001e03ebc.html"
"Fecha: 20241118085344, Artículo: https://web.archive.org/web/20241118085344/https://www.larazon.es/galicia/mas-7700-gallegas-recibieron-ayudas-violencia-machista-ultimas-dos-decadas_20241024671a38b9d0584100016f59d4.html"
"Fecha: 20250524042641, Artículo: https://web.archive.org/web/20250524042641/https://www.larazon.es/galicia/mujer-que-cayo-cuarto-piso-barco-ourense-presentaba-heridas-arma-blanca-p7m_20250523683028e760a5ec34359bfa2c.html"
"Fecha: 20250524042641, Artículo: https://web.archive.org/web/20250524042641/https://www.larazon.es/baleares/violencia-machista-caravana-ibiza-arrestado-hombre-amenazar-cuchillo-expareja_202505126821b59ef7f20a10d03aa2ac.html"
"Fecha: 20250524042641, Artículo: https://web.archive.org/web/20250524042641/https://www.larazon.es/galicia/galicia-reduce-84-casos-violencia-genero-2024-pero-suben-menores-victimas-p7m_20250507681b669e5d71dc778a9c664d.html"
"Fecha: 20250524042641, Artículo: https://web.archive.org/web/20250524042641/https://www.larazon.es/madrid/mujeres-victimas-violencia-machista-madrid-recibiran-ayudas-12420-euros_20250507681b4bd65d71dc778a9c419f.html"
"Fecha: 20250524042641, Artículo: https://web.archive.org/web/20250524042641/https://www.larazon.es/madrid/centro-pionero-madrid-mujeres-victimas-violencia-sexual_20250427680df430e52da91ed531261a.html"
"Fecha: 20250524042641, Artículo: https://web.archive.org/web/20250524042641/https://www.larazon.es/sociedad/mujer-36-anos-asesinada-pareja-detenido-haro-rioja_20250425680bde73e52da91ed52fd7ec.html"
"Fecha: 20250524042641, Artículo: https://web.archive.org/web/20250524042641/https://www.larazon.es/cultura/cine/mas-60-mujeres-declara-haber-sufrido-violencia-sexual-industria-audiovisual-espanola_20250424680a0bb85d71dc778a8cfbd8.html"
"Fecha: 20250524042641, Artículo: https://web.archive.org/web/20250524042641/https://www.larazon.es/andalucia/caso-maltratador-que-cambio-sexo-sera-instruido-como-violencia-machista_202504226807734c6108570001bf574e.html"
